Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude
(SOLD OUT) COME TOGETHER: The Music of The Beatles Tribute,2024-12-06,0:00,arcobar heatherton,"8 Arco Ln, Heatherton VIC 3202, Australia",https://www.facebook.com/events/1900967290411691/,-37.94673685,145.07837928457485
Joe Camilleri & The Black Sorrows w special guests Doc Halibut @ Brunswick Ballroom,2024-12-06,18:30,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/819422953234413/,-37.7704205,144.9617083
Mobile Phone Tips for Better Photos and Videos for Social Media,2024-12-06,14:00,Photo Barn,"128 South Parade Blackburn, VIC 3130",https://www.eventbrite.com.au/e/mobile-phone-tips-for-better-photos-and-videos-for-social-media-tickets-1043279837077?aff=ebdssbdestsearch,-37.8207045,145.1525658
"International Conference on Science, Technology, Engineering and Management",2024-12-06,10:00,Quest Melbourne Airport,"20 Annandale Road Melbourne Airport, VIC 3045",https://www.eventbrite.com/e/international-conference-on-science-technology-engineering-and-management-tickets-1048553520807?aff=ebdssbdestsearch,-37.7030882,144.8571234
"BOLLYWOOD CLUB Presents Friday Night at Crown, Melbourne",2024-12-06,21:30,Crown Melbourne,"8 Whiteman Street Southbank, VIC 3006",https://www.eventbrite.com.au/e/bollywood-club-presents-friday-night-at-crown-melbourne-tickets-999153042647?aff=ebdssbdestsearch,-37.82343669999999,144.9580861
Subtle Body Yoga,2024-12-06,10:00,Wild Grace Yoga and Healing,"4a Canterbury Rd Toorak, VIC 3142",https://www.eventbrite.com.au/e/subtle-body-yoga-tickets-1088991806809?aff=ebdssbdestsearch,-37.84860159999999,145.0094229
FESTIVE WREATH WORKSHOP,2024-12-06,17:00,Petal Pop Flowers,"459-475 Sydney Road Shop 20 Brunswick, VIC 3056",https://www.eventbrite.com.au/e/festive-wreath-workshop-tickets-1054580230859?aff=ebdssbdestsearch,-37.766266,144.9620526
Paint in the Dark© - UV Light Disco Party,2024-12-06,19:00,Paint for Fun,"252 Graham Street #Unit 1 Port Melbourne, VIC 3207",https://www.eventbrite.com.au/e/paint-in-the-dark-uv-light-disco-party-tickets-1003407718497?aff=ebdssbdestsearch,-37.8386895,144.9385483
Intensive Toilet training,2024-12-06,18:00,Melbourne,"Melbourne Melbourne, VIC 3002",https://www.eventbrite.com.au/e/intensive-toilet-training-tickets-1038525065427?aff=ebdssbdestsearch,-37.8161444,144.9804594
OFFAIAH at Circus - Seeing Double Fridays,2024-12-06,22:00,Circus Bar,"199 Commercial Road South Yarra, VIC 3141",https://www.eventbrite.com.au/e/offaiah-at-circus-seeing-double-fridays-tickets-1077114481409?aff=ebdssbdestsearch,-37.8465589,144.993086
Ben Camden - 'Sunflowers' EP Launch - Melbourne,2024-12-06,06:30,One2three Bar,"123 Queens Parade Clifton Hill, VIC 3068",https://www.eventbrite.com.au/e/ben-camden-sunflowers-ep-launch-melbourne-tickets-1028557441997?aff=ebdssbdestsearch,-37.7893396,144.9901958
OLD & RARE Wine Tastings with Sommelier Antony,2024-12-06,19:00,"Life's Too Short Bar, Tribeca Arcade, Victoria Parade, East Melbourne VIC, Australia","412 Victoria Parade #Shop 2 East Melbourne, VIC 3002",https://www.eventbrite.com.au/e/old-rare-wine-tastings-with-sommelier-antony-tickets-850006049977?aff=ebdssbdestsearch,-37.8096207,144.985273
BNI Horizon Networking,2024-12-06,06:45,True South,"298 Beach Road Black Rock, VIC 3193",https://www.eventbrite.com.au/e/bni-horizon-networking-tickets-1022460947217?aff=ebdssbdestsearch,-37.975729,145.0164627
Meet People Social Melbourne | Cultural International Party,2024-12-06,17:30,215 Queen's Restaurant and Bar Melbourne,"215 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/meet-people-social-melbourne-cultural-international-party-tickets-951030677357?aff=ebdssbdestsearch,-37.8137947,144.9598607
Tou-Can 'Space' Single Launch,2024-12-06,19:30,280 Sydney Rd,"280 Sydney Road Brunswick, VIC 3056",https://www.eventbrite.com.au/e/tou-can-space-single-launch-tickets-1089658220069?aff=ebdssbdestsearch,-37.7711488,144.9616353
GT Events Melbourne,2024-12-06,18:00,Click co. Coffee,"3 Freshwater Place #Shop 16r Southbank, VIC 3006",https://www.eventbrite.com/e/gt-events-melbourne-tickets-1078568169429?aff=ebdssbdestsearch,-37.82152050000001,144.9624773
"Basement Comedy Club: Friday/Saturday, December 6/7",2024-12-06,20:00,Basement Comedy Club,"120 Exhibition Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/basement-comedy-club-fridaysaturday-december-67-tickets-1061088808189?aff=ebdssbdestsearch,-37.8128722,144.9712049
"Bollywood Club - BALLE 101 at Crown, Melbourne",2024-12-06,21:30,Crown Melbourne,"8 Whiteman Street Southbank, VIC 3006",https://www.eventbrite.com.au/e/bollywood-club-balle-101-at-crown-melbourne-tickets-1054755906309?aff=ebdssbdestsearch,-37.82343669999999,144.9580861
Rnb Pop and Girlie Hip Hop Fridays !,2024-12-06,19:00,Circle.,"36 Saint Edmonds Road #Level 1 Prahran, VIC 3181",https://www.eventbrite.com/e/rnb-pop-and-girlie-hip-hop-fridays-tickets-1010340304047?aff=ebdssbdestsearch,-37.8499197,144.992012
Responding to Disclosures of Sexual Assault Workshop,2024-12-06,09:30,"Ground level (Room Balam Balam), 210 Lonsdale Street, Melbourne, VIC 3000","210 Lonsdale Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/responding-to-disclosures-of-sexual-assault-workshop-tickets-914389903817?aff=ebdssbdestsearch,-37.8108823,144.9657655
Art at Aura Cafe for Toddler and Pre-School Kids,2024-12-06,10:00,388 Malvern Rd,"388 Malvern Road Prahran, VIC 3181",https://www.eventbrite.com.au/e/art-at-aura-cafe-for-toddler-and-pre-school-kids-tickets-1001091891797?aff=ebdssbdestsearch,-37.84777,144.999497
Christmas Wreath making workshop,2024-12-06,18:30,44 Porter St,"44 Porter Street Prahran, VIC 3181",https://www.eventbrite.co.nz/e/christmas-wreath-making-workshop-tickets-1086551648229?aff=ebdssbdestsearch,-37.8482894,144.9905673
Brown Tech,2024-12-06,22:00,Chaise Lounge,"105 Queen Street #Basement Melbourne, VIC 3000",https://www.eventbrite.com.au/e/brown-tech-tickets-1093460362379?aff=ebdssbdestsearch,-37.816116,144.960926
Melbourne Magic Show - Impossible Occurrences,2024-12-06,19:30,Melbourne Marriott Hotel,"Cnr Lonsdale & Exhibition St Melbourne, VIC 3000",https://www.eventbrite.com.au/e/melbourne-magic-show-impossible-occurrences-tickets-947627648807?aff=ebdssbdestsearch,-37.8100597,144.9697004
Forro Dance Classes at Dsoul Studio - Spring Edition,2024-12-06,06:30,Dsoul Dance Studio,"439 Elizabeth Street #1 Melbourne, VIC 3000",https://www.eventbrite.com.au/e/forro-dance-classes-at-dsoul-studio-spring-edition-tickets-1038724241167?aff=ebdssbdestsearch,-37.808745,144.9604711
VIC - PMB X HACIENDA LA ESMERALDA,2024-12-06,17:00,Zest Coffee Tasting Experience Studio,"67 North Street Richmond, VIC 3121",https://www.eventbrite.com.au/e/vic-pmb-x-hacienda-la-esmeralda-tickets-1098261964099?aff=ebdssbdestsearch,-37.816371,145.012307
Euphoric Beats,2024-12-06,20:00,Bad Decisions Bar,"46 Johnston Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/euphoric-beats-tickets-1098349215069?aff=ebdssbdestsearch,-37.7982682,144.9762913
"Pop, Bubble, Fizz! Champagne & Sparkling Masterclass | Melbourne",2024-12-07,14:00,Le Méridien Melbourne,"20 Bourke Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/pop-bubble-fizz-champagne-sparkling-masterclass-melbourne-tickets-1014159025947?aff=ebdssbdestsearch,-37.8113901,144.9722393
ALLER REVIENS SEASON 3,2024-12-07,21:00,Chaise Lounge,"105 Queen Street Basement Melbourne, VIC 3000",https://www.eventbrite.com/e/aller-reviens-season-3-tickets-1061209739899?aff=ebdssbdestsearch,-37.816116,144.960926
"Black Aces live at Cherry Bar, SAT Dec 7th",2024-12-07,20:00,"Cherry Bar, Little Collins Street, Melbourne VIC, Australia","68 Little Collins Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/black-aces-live-at-cherry-bar-sat-dec-7th-tickets-1054472087399?aff=ebdssbdestsearch,-37.8129293,144.9714986
9D Breathwork - Sacred cacao & blue lotus - Vibrational sound healing,2024-12-07,10:00,Vine & Branches Personal Growth Centre Inc.,"27 Bonds Road Lower Plenty, VIC 3093",https://www.eventbrite.com.au/e/9d-breathwork-sacred-cacao-blue-lotus-vibrational-sound-healing-tickets-1072017466099?aff=ebdssbdestsearch,-37.7512457,145.1126917
The Shapeshifters - POOF DOOF Melbourne Sat 7 Dec,2024-12-07,22:00,Chasers Nightclub,"386 Chapel Street South Yarra, VIC 3141",https://www.eventbrite.com.au/e/the-shapeshifters-poof-doof-melbourne-sat-7-dec-tickets-1050221911007?aff=ebdssbdestsearch,-37.8459028,144.9947039
Match & Mingle,2024-12-07,20:00,The Valiant Cocktail Bar,"412 Little Collins Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/match-mingle-tickets-1085869156879?aff=ebdssbdestsearch,-37.8157453,144.9607827
Open Heart Kirtan @ The Open Space,2024-12-07,16:00,The Open Space,"11 Acacia Place Abbotsford, VIC 3067",https://www.eventbrite.com.au/e/open-heart-kirtan-the-open-space-tickets-1075489852099?aff=ebdssbdestsearch,-37.8117719,145.0141432
Another Night Of Global Dance Extravaganza 2024,2024-12-07,17:00,Ela Rose Studios,"20 Chingford Street Fairfield, VIC 3078",https://www.eventbrite.com.au/e/another-night-of-global-dance-extravaganza-2024-tickets-1034651369097?aff=ebdssbdestsearch,-37.7696884,145.0239564
"Invite Only's ""Celebration"" 2nd birthday",2024-12-07,16:00,The Carlton Club,"193 Bourke Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/invite-onlys-celebration-2nd-birthday-tickets-1021438639467?aff=ebdssbdestsearch,-37.8132289,144.9676633
MTG - Foundations DRAFT - Gameology CLAYTON SOUTH - 07/12/2024,2024-12-07,11:30,Gameology,"12 Eileen Road Clayton South, VIC 3169",https://www.eventbrite.com.au/e/mtg-foundations-draft-gameology-clayton-south-07122024-tickets-1054436440779?aff=ebdssbdestsearch,-37.9512104,145.1347381
Australian National Jigsaw Puzzle Championships 2024,2024-12-07,9:00,State Sport Centres - MSAC,"30 Aughtie Drive Albert Park, VIC 3206",https://www.eventbrite.com.au/e/australian-national-jigsaw-puzzle-championships-2024-tickets-896814946647?aff=ebdssbdestsearch,-37.8393229,144.9635459
Mindful Calligraphy Workshop for Beginners,2024-12-07,10:00,HEER POTTERY ART,"31 Clarice Road #unit3/29 Box Hill South, VIC 3128",https://www.eventbrite.com.au/e/mindful-calligraphy-workshop-for-beginners-tickets-1029466370627?aff=ebdssbdestsearch,-37.833062,145.1337404
Retro28s - THE FINALE - FINAL EVER RETRO28'S | Over 28s Night Melb,2024-12-07,20:30,Deluxe Bar,"595 Mount Alexander Road Moonee Ponds, VIC 3039",https://www.eventbrite.com.au/e/retro28s-the-finale-final-ever-retro28s-over-28s-night-melb-tickets-1076948665449?aff=ebdssbdestsearch,-37.768313,144.925046
FCCV Christmas Festa,2024-12-07,9:30,Veneto Club,"191 Bulleen Road Bulleen, VIC 3105",https://www.eventbrite.com.au/e/fccv-christmas-festa-tickets-1082864359449?aff=ebdssbdestsearch,-37.7721484,145.0777156
GLITCH - GLITCHMAS 2024!,2024-12-07,21:00,Inflation Entertainment Complex,"60 King Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/glitch-glitchmas-2024-tickets-1095892246209?aff=ebdssbdestsearch,-37.8188863,144.9571605
Pullman's Private Whisky & Chocolate Masterclass,2024-12-07,18:00,192 Wellington Parade,"192 Wellington Parade East Melbourne, VIC 3002",https://www.eventbrite.com.au/e/pullmans-private-whisky-chocolate-masterclass-tickets-1077929348699?aff=ebdssbdestsearch,-37.8158404,144.9833174
"Breathwork Journey Within - Release, Recharge & Rediscover Yourself.",2024-12-07,11:00,Centre of You,"Upstairs, 217 Chapel St Prahran Melbourne, VIC 3181",https://www.eventbrite.com.au/e/breathwork-journey-within-release-recharge-rediscover-yourself-tickets-1072005700909?aff=ebdssbdestsearch,-37.8509316,144.9933031
"Painting for Purpose: Sip, Create, and Support REACH Siem Reap",2024-12-07,13:00,Prince Alfred Hotel,"355 Bay Street Port Melbourne, VIC 3207",https://www.eventbrite.com/e/painting-for-purpose-sip-create-and-support-reach-siem-reap-registration-1085870240119?aff=ebdssbdestsearch,-37.8353732,144.944953
TRVE KVLT II - HEAVY & HARDCORE,2024-12-07,20:30,Laundry Bar,"50 Johnston Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/trve-kvlt-ii-heavy-hardcore-tickets-1095817061329?aff=ebdssbdestsearch,-37.79831,144.976368
RnR Fiesta - RnB & Reggaeton Latín Hits,2024-12-07,22:00,The George on Collins,"162-168 Collins Street Melbourne, VIC 3000",https://www.eventbrite.com/e/rnr-fiesta-rnb-reggaeton-latin-hits-tickets-1077925276519?aff=ebdssbdestsearch,-37.8148781,144.9680956
Queens of the Pool  2024 hosted by Art Simone,2024-12-07,20:30,Sircuit Bar,"103-105 Smith Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/queens-of-the-pool-2024-hosted-by-art-simone-tickets-1054749396839?aff=ebdssbdestsearch,-37.80578,144.982912
"SATURDAY - Fitzroy Market (October, November, December 2024)",2024-12-07,09:00,Fitzroy Mills Market,"75 Rose Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/saturday-fitzroy-market-october-november-december-2024-tickets-1003297017387?aff=ebdssbdestsearch,-37.7956693,144.9779514
Nocturne (Sat 1:00pm),2024-12-07,13:00,Transit Dance (Brunswick),"64 Dawson Street Brunswick, VIC 3056",https://www.eventbrite.com.au/e/nocturne-sat-100pm-tickets-1045288184097?aff=ebdssbdestsearch,-37.7701752,144.9559255
"KALA CHASHMA At Inflation Nightclub, Melbourne",2024-12-07,22:00,Inflation Nightclub,"60 King Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/kala-chashma-at-inflation-nightclub-melbourne-tickets-1082825613559?aff=ebdssbdestsearch,-37.8188863,144.9571605
"Lunch, Games & Craft with Santa 7th & 14th Dec @ 11am",2024-12-07,11:00,M-City Shopping Centre,"2125 Princes Highway #2107 Clayton, VIC 3168",https://www.eventbrite.com/e/lunch-games-craft-with-santa-7th-14th-dec-11am-tickets-1095750783089?aff=ebdssbdestsearch,-37.920929,145.1403919
Screen Printing Workshops at Woods Street Arts Space,2024-12-07,10:00,Woods Street Arts Space,"44 Woods Street Laverton, VIC 3028",https://www.eventbrite.com.au/e/screen-printing-workshops-at-woods-street-arts-space-tickets-970248849427?aff=ebdssbdestsearch,-37.8621226,144.7721641
Rattlincane  at The Lomond Hotel,2024-12-07,21:00,The Lomond Hotel,"225 Nicholson Street Brunswick East, VIC 3057",https://www.eventbrite.com.au/e/rattlincane-at-the-lomond-hotel-tickets-1094974641629?aff=ebdssbdestsearch,-37.7670861,144.9800057
"The Funk Factory - Ft Kodiak Kid, Wilma, Swim Inc (NSW) + MORE!",2024-12-07,15:00,Top Yard Rooftop,"King Street #Rear 60 Melbourne, VIC 3000",https://www.eventbrite.com/e/the-funk-factory-ft-kodiak-kid-wilma-swim-inc-nsw-more-tickets-1036278646327?aff=ebdssbdestsearch,-37.8134279,144.9544436
